file,character,setup,t,level,damage,crit,glancing,ap,gain,capped
siax_uw_dw_092326.txt,Siax,dual_wield,39874.019,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39875.338,15,45,False,False,483,56,True
siax_uw_dw_092326.txt,Siax,dual_wield,39876.688,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39878.48,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39880.531,15,106,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39881.015,15,30,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39885.103,15,85,True,False,483,17,True
siax_uw_dw_092326.txt,Siax,dual_wield,39885.22,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39886.504,15,31,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39886.921,15,47,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39887.788,15,28,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39888.723,15,108,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39889.157,15,28,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39890.491,15,91,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39894.467,15,52,False,False,483,11,True
siax_uw_dw_092326.txt,Siax,dual_wield,39895.417,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39896.185,15,46,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39899.004,15,45,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39899.221,15,30,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39900.555,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39900.839,15,91,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39902.693,15,94,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39903.628,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39904.495,15,45,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39904.962,15,31,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39907.498,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39908.066,15,43,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39908.816,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39909.917,15,54,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39933.788,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39934.139,15,49,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39936.106,15,15,False,False,483,23,True
siax_uw_dw_092326.txt,Siax,dual_wield,39936.407,15,45,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39937.372,15,16,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39938.739,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39939.372,15,43,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39939.972,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39942.62,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39943.921,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39944.789,15,50,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39945.206,15,14,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39957.424,15,104,True,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39958.425,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39959.293,15,44,False,False,483,46,True
siax_uw_dw_092326.txt,Siax,dual_wield,39959.692,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39960.977,15,30,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39961.094,15,51,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39964.948,15,15,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39965.198,15,51,False,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,39971.914,15,99,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39972.281,15,29,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39973.549,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39973.668,15,55,False,False,483,15,True
siax_uw_dw_092326.txt,Siax,dual_wield,39977.036,15,99,True,False,483,0,True
siax_uw_dw_092326.txt,Siax,dual_wield,40006.696,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,40007.013,15,53,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,40009.501,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,40011.169,15,45,False,False,483,63,False
