9/23/2026 20:35:26.428-5  COMBAT_LOG_VERSION,22,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.60.1,PROJECT_ID,18
9/23/2026 20:45:26.374-5  SPELL_CAST_SUCCESS,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,285,"Heroic Strike",0x1,Player-4619-0067141E,0000000000000000,799,939,532,0,1185,0,0,0,1,383,1000,150,-3976.65,-3020.16,1437,6.2820,12
9/23/2026 20:45:26.375-5  SPELL_DAMAGE,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,285,"Heroic Strike",0x1,Creature-0-6783-0-8995-1417-0000348087,0000000000000000,378,691,74,0,897,0,0,0,1,0,0,0,-3973.62,-3019.87,1437,3.2578,21,110,156,-1,1,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:26.957-5  SWING_DAMAGE,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,153,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,26,39,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:26.957-5  SWING_DAMAGE_LANDED,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-00AF5B80,0000000000000000,259,861,533,0,1079,0,0,0,0,34,657,0,-4079.82,-3012.94,1437,0.5288,14,26,39,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:26.957-5  SPELL_CAST_SUCCESS,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,Player-4613-00848667,0000000000000000,478,507,156,30,392,0,0,0,0,697,1497,65,-3878.20,-3058.63,1437,2.3103,10
9/23/2026 20:45:26.958-5  SPELL_CAST_SUCCESS,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,1312002,"Ice Lance",0x10,Player-4613-00848667,0000000000000000,478,507,156,30,392,0,0,0,0,632,1497,45,-3878.20,-3058.63,1437,2.3103,10
9/23/2026 20:45:26.958-5  DAMAGE_SHIELD,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,7294,"Retribution Aura",0x2,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,141,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,12,12,-1,2,0,0,0,nil,nil,nil,AOE
9/23/2026 20:45:27.157-5  SWING_MISSED,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,DODGE,nil
9/23/2026 20:45:27.257-5  SWING_DAMAGE,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,0000000000000000,259,861,533,0,1079,0,0,0,0,34,657,0,-4079.82,-3012.94,1437,0.5288,14,90,138,-1,1,0,0,0,nil,1,nil
9/23/2026 20:45:27.257-5  SWING_DAMAGE_LANDED,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,51,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,90,138,-1,1,0,0,0,nil,1,nil
9/23/2026 20:45:27.257-5  SPELL_CAST_SUCCESS,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,20424,"Seal of Command",0x2,Player-4613-00AF5B80,0000000000000000,259,861,533,0,1079,0,0,0,0,48,657,0,-4079.82,-3012.94,1437,0.5288,14
9/23/2026 20:45:27.257-5  SPELL_DAMAGE,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,20424,"Seal of Command",0x2,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,0,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,3.7308,21,108,107,57,2,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:27.257-5  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,0
9/23/2026 20:45:27.357-5  SPELL_DAMAGE,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,1312002,"Ice Lance",0x10,Creature-0-6783-0-8995-1008-000034809A,0000000000000000,557,746,78,0,932,0,0,0,1,0,0,0,-3884.29,-3048.70,1437,5.4978,22,30,30,-1,16,0,0,0,nil,nil,nil,ST
9/23/2026 20:45:27.358-5  SPELL_PERIODIC_HEAL,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,139,"Renew",0x2,Player-4613-0096FAE3,0000000000000000,717,717,191,46,802,0,0,53,0,948,1252,0,-3822.59,-3004.05,1437,3.9746,19,33,33,33,0,nil
9/23/2026 20:45:27.473-5  SPELL_AURA_REFRESH,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,DEBUFF
9/23/2026 20:45:27.474-5  SPELL_DAMAGE,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,Creature-0-6783-0-8995-1008-000034809A,0000000000000000,477,746,78,0,932,0,0,0,1,0,0,0,-3883.86,-3049.13,1437,5.4978,22,80,79,-1,16,0,0,0,nil,nil,nil,ST
